,Unnamed: 0,Unnamed: 0.1,date,hour,energy_kWh,day,weekend,holiday,dst,temperature,humidity,pressure,weather,dayofweek,dayofmonth,days_from_start,hours_from_start,building_id,facing,housetype,RUs
1944,1944,1944,2018/1/21,0,0.36,Sunday,1,,,8.2,75,100.8,,0,21,81,1944,Residential_10,south,special,0
1945,1945,1945,2018/1/21,1,0.35,Sunday,1,,,8.6,72,100.77,Cloudy,0,21,81,1945,Residential_10,south,special,0
1946,1946,1946,2018/1/21,2,0.27,Sunday,1,,,8.8,71,100.67,,0,21,81,1946,Residential_10,south,special,0
1947,1947,1947,2018/1/21,3,0.23,Sunday,1,,,8.8,72,100.59,,0,21,81,1947,Residential_10,south,special,0
1948,1948,1948,2018/1/21,4,0.22,Sunday,1,,,8.7,72,100.48,Cloudy,0,21,81,1948,Residential_10,south,special,0
1949,1949,1949,2018/1/21,5,0.23,Sunday,1,,,8.9,71,100.37,,0,21,81,1949,Residential_10,south,special,0
1950,1950,1950,2018/1/21,6,0.22,Sunday,1,,,9.2,69,100.28,,0,21,81,1950,Residential_10,south,special,0
1951,1951,1951,2018/1/21,7,0.32,Sunday,1,,,9.5,67,100.2,Cloudy,0,21,81,1951,Residential_10,south,special,0
1952,1952,1952,2018/1/21,8,0.29,Sunday,1,,,8.5,74,100.14,,0,21,81,1952,Residential_10,south,special,0
1953,1953,1953,2018/1/21,9,1.18,Sunday,1,,,8.1,81,100.16,Rain,0,21,81,1953,Residential_10,south,special,0
1954,1954,1954,2018/1/21,10,0.57,Sunday,1,,,8.3,81,100.3,Rain,0,21,81,1954,Residential_10,south,special,0
1955,1955,1955,2018/1/21,11,0.44,Sunday,1,,,8.0,86,100.41,Rain,0,21,81,1955,Residential_10,south,special,0
1956,1956,1956,2018/1/21,12,0.6,Sunday,1,,,9.0,80,100.49,,0,21,81,1956,Residential_10,south,special,0
1957,1957,1957,2018/1/21,13,0.63,Sunday,1,,,9.6,75,100.58,Mostly Cloudy,0,21,81,1957,Residential_10,south,special,0
1958,1958,1958,2018/1/21,14,0.35,Sunday,1,,,9.0,74,100.68,Rain Showers,0,21,81,1958,Residential_10,south,special,0
1959,1959,1959,2018/1/21,15,0.61,Sunday,1,,,7.7,76,100.73,,0,21,81,1959,Residential_10,south,special,0
1960,1960,1960,2018/1/21,16,0.41,Sunday,1,,,7.7,74,100.83,Rain Showers,0,21,81,1960,Residential_10,south,special,0
1961,1961,1961,2018/1/21,17,0.81,Sunday,1,,,6.5,82,100.91,,0,21,81,1961,Residential_10,south,special,0
1962,1962,1962,2018/1/21,18,1.15,Sunday,1,,,6.3,81,100.99,,0,21,81,1962,Residential_10,south,special,0
1963,1963,1963,2018/1/21,19,1.01,Sunday,1,,,5.8,82,101.09,Mostly Cloudy,0,21,81,1963,Residential_10,south,special,0
1964,1964,1964,2018/1/21,20,0.83,Sunday,1,,,6.3,80,101.16,,0,21,81,1964,Residential_10,south,special,0
1965,1965,1965,2018/1/21,21,0.62,Sunday,1,,,6.3,83,101.22,,0,21,81,1965,Residential_10,south,special,0
1966,1966,1966,2018/1/21,22,0.37,Sunday,1,,,5.9,86,101.33,Rain,0,21,81,1966,Residential_10,south,special,0
1967,1967,1967,2018/1/21,23,0.44,Sunday,1,,,6.0,89,101.38,Rain,0,21,81,1967,Residential_10,south,special,0
1968,1968,1968,2018/1/22,0,0.42,Monday,0,,,5.7,89,101.4,,1,22,82,1968,Residential_10,south,special,0
1969,1969,1969,2018/1/22,1,0.34,Monday,0,,,6.2,85,101.48,Cloudy,1,22,82,1969,Residential_10,south,special,0
1970,1970,1970,2018/1/22,2,0.25,Monday,0,,,6.5,85,101.51,,1,22,82,1970,Residential_10,south,special,0
1971,1971,1971,2018/1/22,3,0.24,Monday,0,,,6.3,85,101.56,,1,22,82,1971,Residential_10,south,special,0
