,Unnamed: 0,Unnamed: 0.1,date,hour,energy_kWh,day,weekend,holiday,dst,temperature,humidity,pressure,weather,dayofweek,dayofmonth,days_from_start,hours_from_start,building_id,facing,housetype,RUs
1728,1728,1728,2018/1/12,0,0.31,Friday,0,,,2.4,97,101.69,Rain,5,12,72,1728,Residential_10,south,special,0
1729,1729,1729,2018/1/12,1,0.27,Friday,0,,,2.6,98,101.75,Rain,5,12,72,1729,Residential_10,south,special,0
1730,1730,1730,2018/1/12,2,0.24,Friday,0,,,2.5,99,101.84,Rain,5,12,72,1730,Residential_10,south,special,0
1731,1731,1731,2018/1/12,3,0.23,Friday,0,,,2.6,99,101.98,Rain,5,12,72,1731,Residential_10,south,special,0
1732,1732,1732,2018/1/12,4,0.24,Friday,0,,,2.7,99,102.03,Drizzle,5,12,72,1732,Residential_10,south,special,0
1733,1733,1733,2018/1/12,5,0.23,Friday,0,,,2.8,99,102.13,Drizzle,5,12,72,1733,Residential_10,south,special,0
1734,1734,1734,2018/1/12,6,0.24,Friday,0,,,2.9,99,102.12,Rain,5,12,72,1734,Residential_10,south,special,0
1735,1735,1735,2018/1/12,7,0.6,Friday,0,,,3.1,99,102.19,Fog,5,12,72,1735,Residential_10,south,special,0
1736,1736,1736,2018/1/12,8,0.61,Friday,0,,,3.2,99,102.2,Drizzle,5,12,72,1736,Residential_10,south,special,0
1737,1737,1737,2018/1/12,9,0.27,Friday,0,,,3.4,99,102.29,Drizzle,5,12,72,1737,Residential_10,south,special,0
1738,1738,1738,2018/1/12,10,0.28,Friday,0,,,3.7,99,102.36,Drizzle,5,12,72,1738,Residential_10,south,special,0
1739,1739,1739,2018/1/12,11,0.37,Friday,0,,,4.1,99,102.43,Rain,5,12,72,1739,Residential_10,south,special,0
1740,1740,1740,2018/1/12,12,0.39,Friday,0,,,4.5,98,102.46,,5,12,72,1740,Residential_10,south,special,0
1741,1741,1741,2018/1/12,13,0.36,Friday,0,,,4.9,96,102.47,Rain,5,12,72,1741,Residential_10,south,special,0
1742,1742,1742,2018/1/12,14,1.0,Friday,0,,,4.4,96,102.51,Rain,5,12,72,1742,Residential_10,south,special,0
1743,1743,1743,2018/1/12,15,0.71,Friday,0,,,4.4,97,102.58,Rain,5,12,72,1743,Residential_10,south,special,0
1744,1744,1744,2018/1/12,16,0.53,Friday,0,,,4.5,97,102.66,Rain,5,12,72,1744,Residential_10,south,special,0
1745,1745,1745,2018/1/12,17,0.79,Friday,0,,,4.3,97,102.69,Rain,5,12,72,1745,Residential_10,south,special,0
1746,1746,1746,2018/1/12,18,1.1,Friday,0,,,4.3,97,102.75,Rain,5,12,72,1746,Residential_10,south,special,0
1747,1747,1747,2018/1/12,19,0.96,Friday,0,,,4.3,97,102.75,Rain,5,12,72,1747,Residential_10,south,special,0
1748,1748,1748,2018/1/12,20,0.91,Friday,0,,,4.5,97,102.75,Rain,5,12,72,1748,Residential_10,south,special,0
1749,1749,1749,2018/1/12,21,0.72,Friday,0,,,4.9,97,102.71,Rain,5,12,72,1749,Residential_10,south,special,0
1750,1750,1750,2018/1/12,22,0.37,Friday,0,,,5.4,97,102.74,Rain,5,12,72,1750,Residential_10,south,special,0
1751,1751,1751,2018/1/12,23,0.36,Friday,0,,,6.0,96,102.76,Rain,5,12,72,1751,Residential_10,south,special,0
1752,1752,1752,2018/1/13,0,0.43,Saturday,1,,,5.9,95,102.84,Rain,6,13,73,1752,Residential_10,south,special,0
1753,1753,1753,2018/1/13,1,0.38,Saturday,1,,,6.2,91,102.79,Rain,6,13,73,1753,Residential_10,south,special,0
1754,1754,1754,2018/1/13,2,0.25,Saturday,1,,,6.1,89,102.81,,6,13,73,1754,Residential_10,south,special,0
1755,1755,1755,2018/1/13,3,0.24,Saturday,1,,,6.2,89,102.87,,6,13,73,1755,Residential_10,south,special,0
1756,1756,1756,2018/1/13,4,0.23,Saturday,1,,,5.9,97,102.89,Drizzle,6,13,73,1756,Residential_10,south,special,0
1757,1757,1757,2018/1/13,5,0.24,Saturday,1,,,5.9,98,102.93,Drizzle,6,13,73,1757,Residential_10,south,special,0
1758,1758,1758,2018/1/13,6,0.23,Saturday,1,,,5.7,99,102.96,Drizzle,6,13,73,1758,Residential_10,south,special,0
1759,1759,1759,2018/1/13,7,0.24,Saturday,1,,,5.7,99,102.97,Drizzle,6,13,73,1759,Residential_10,south,special,0
1760,1760,1760,2018/1/13,8,0.23,Saturday,1,,,5.9,99,103.0,,6,13,73,1760,Residential_10,south,special,0
1761,1761,1761,2018/1/13,9,0.65,Saturday,1,,,6.6,99,103.05,,6,13,73,1761,Residential_10,south,special,0
1762,1762,1762,2018/1/13,10,0.9,Saturday,1,,,7.5,96,103.11,Cloudy,6,13,73,1762,Residential_10,south,special,0
1763,1763,1763,2018/1/13,11,1.15,Saturday,1,,,7.5,97,103.11,,6,13,73,1763,Residential_10,south,special,0
1764,1764,1764,2018/1/13,12,1.11,Saturday,1,,,8.0,96,103.08,,6,13,73,1764,Residential_10,south,special,0
1765,1765,1765,2018/1/13,13,5.2,Saturday,1,,,7.7,95,103.05,Cloudy,6,13,73,1765,Residential_10,south,special,0
1766,1766,1766,2018/1/13,14,0.75,Saturday,1,,,7.1,97,103.01,,6,13,73,1766,Residential_10,south,special,0
1767,1767,1767,2018/1/13,15,0.53,Saturday,1,,,6.9,98,103.0,Drizzle,6,13,73,1767,Residential_10,south,special,0
1768,1768,1768,2018/1/13,16,5.43,Saturday,1,,,6.5,98,102.97,Drizzle,6,13,73,1768,Residential_10,south,special,0
