,Unnamed: 0,date,hour,energy_kWh,temperature,humidity,pressure,weather,dayofweek,dayofmonth,days_from_start,hours_from_start,weekend,building_id,HouseType,Facing,RUs
10584,10584,2017/9/13,0,0.28,14.6,79,101.39,Mainly Clear,6,13,441,10584,1,Residential_10,special,South,0
10585,10585,2017/9/13,1,0.28,14.3,79,101.38,Mostly Cloudy,6,13,441,10585,1,Residential_10,special,South,0
10586,10586,2017/9/13,2,0.27,13.7,84,101.37,Mostly Cloudy,6,13,441,10586,1,Residential_10,special,South,0
10587,10587,2017/9/13,3,0.28,13.4,84,101.37,Mostly Cloudy,6,13,441,10587,1,Residential_10,special,South,0
10588,10588,2017/9/13,4,0.26,13.1,86,101.41,Clear,6,13,441,10588,1,Residential_10,special,South,0
10589,10589,2017/9/13,5,0.26,12.9,87,101.41,Clear,6,13,441,10589,1,Residential_10,special,South,0
10590,10590,2017/9/13,6,0.31,12.8,86,101.47,Clear,6,13,441,10590,1,Residential_10,special,South,0
10591,10591,2017/9/13,7,0.54,13.6,85,101.52,Mostly Cloudy,6,13,441,10591,1,Residential_10,special,South,0
10592,10592,2017/9/13,8,0.42,15.2,78,101.56,Mostly Cloudy,6,13,441,10592,1,Residential_10,special,South,0
10593,10593,2017/9/13,9,0.23,14.3,88,101.56,Rain Showers,6,13,441,10593,1,Residential_10,special,South,0
10594,10594,2017/9/13,10,0.24,14.7,89,101.55,Mostly Cloudy,6,13,441,10594,1,Residential_10,special,South,0
10595,10595,2017/9/13,11,0.41,16.8,79,101.54,Mostly Cloudy,6,13,441,10595,1,Residential_10,special,South,0
10596,10596,2017/9/13,12,0.45,17.4,72,101.49,Mostly Cloudy,6,13,441,10596,1,Residential_10,special,South,0
10597,10597,2017/9/13,13,0.33,17.6,72,101.44,Mainly Clear,6,13,441,10597,1,Residential_10,special,South,0
10598,10598,2017/9/13,14,0.39,18.0,69,101.38,Mainly Clear,6,13,441,10598,1,Residential_10,special,South,0
10599,10599,2017/9/13,15,2.4,18.5,68,101.35,Mainly Clear,6,13,441,10599,1,Residential_10,special,South,0
