,Unnamed: 0,date,hour,energy_kWh,temperature,humidity,pressure,weather,dayofweek,dayofmonth,days_from_start,hours_from_start,weekend,building_id,HouseType,Facing,RUs
9408,9408,2017/7/26,0,0.32,16.3,87,101.55,Clear,5,26,392,9408,1,Residential_10,special,South,0
9409,9409,2017/7/26,1,0.29,16.0,82,101.55,Clear,5,26,392,9409,1,Residential_10,special,South,0
9410,9410,2017/7/26,2,0.23,15.4,82,101.56,Clear,5,26,392,9410,1,Residential_10,special,South,0
9411,9411,2017/7/26,3,0.23,15.1,77,101.59,Clear,5,26,392,9411,1,Residential_10,special,South,0
9412,9412,2017/7/26,4,0.23,14.3,81,101.61,Clear,5,26,392,9412,1,Residential_10,special,South,0
9413,9413,2017/7/26,5,0.24,13.9,87,101.67,Clear,5,26,392,9413,1,Residential_10,special,South,0
9414,9414,2017/7/26,6,0.38,14.9,84,101.7,Clear,5,26,392,9414,1,Residential_10,special,South,0
9415,9415,2017/7/26,7,0.25,16.3,79,101.75,Mainly Clear,5,26,392,9415,1,Residential_10,special,South,0
9416,9416,2017/7/26,8,0.35,18.1,70,101.78,Mainly Clear,5,26,392,9416,1,Residential_10,special,South,0
9417,9417,2017/7/26,9,0.26,19.9,65,101.76,Mainly Clear,5,26,392,9417,1,Residential_10,special,South,0
9418,9418,2017/7/26,10,0.23,21.6,59,101.75,Mostly Cloudy,5,26,392,9418,1,Residential_10,special,South,0
9419,9419,2017/7/26,11,0.3,22.3,56,101.73,Mostly Cloudy,5,26,392,9419,1,Residential_10,special,South,0
9420,9420,2017/7/26,12,0.23,22.8,55,101.72,Mostly Cloudy,5,26,392,9420,1,Residential_10,special,South,0
9421,9421,2017/7/26,13,2.45,23.4,52,101.69,Mostly Cloudy,5,26,392,9421,1,Residential_10,special,South,0
9422,9422,2017/7/26,14,0.72,22.2,57,101.7,Mostly Cloudy,5,26,392,9422,1,Residential_10,special,South,0
9423,9423,2017/7/26,15,0.64,24.4,50,101.68,Mostly Cloudy,5,26,392,9423,1,Residential_10,special,South,0
9424,9424,2017/7/26,16,0.55,25.2,47,101.6,Mostly Cloudy,5,26,392,9424,1,Residential_10,special,South,0
9425,9425,2017/7/26,17,1.68,24.3,52,101.56,Mostly Cloudy,5,26,392,9425,1,Residential_10,special,South,0
9426,9426,2017/7/26,18,1.96,22.4,55,101.55,Mostly Cloudy,5,26,392,9426,1,Residential_10,special,South,0
9427,9427,2017/7/26,19,2.09,22.1,54,101.53,Mostly Cloudy,5,26,392,9427,1,Residential_10,special,South,0
9428,9428,2017/7/26,20,1.93,19.3,66,101.51,Mostly Cloudy,5,26,392,9428,1,Residential_10,special,South,0
9429,9429,2017/7/26,21,0.78,17.7,74,101.53,Mostly Cloudy,5,26,392,9429,1,Residential_10,special,South,0
9430,9430,2017/7/26,22,0.5,17.5,74,101.54,Mainly Clear,5,26,392,9430,1,Residential_10,special,South,0
9431,9431,2017/7/26,23,0.42,17.0,75,101.56,Mainly Clear,5,26,392,9431,1,Residential_10,special,South,0
9432,9432,2017/7/27,0,0.36,15.9,77,101.59,Mainly Clear,6,27,393,9432,1,Residential_10,special,South,0
9433,9433,2017/7/27,1,0.28,15.7,76,101.63,Mostly Cloudy,6,27,393,9433,1,Residential_10,special,South,0
9434,9434,2017/7/27,2,0.23,15.2,79,101.65,Mostly Cloudy,6,27,393,9434,1,Residential_10,special,South,0
9435,9435,2017/7/27,3,0.23,14.2,84,101.66,Mostly Cloudy,6,27,393,9435,1,Residential_10,special,South,0
9436,9436,2017/7/27,4,0.23,13.8,89,101.7,Mainly Clear,6,27,393,9436,1,Residential_10,special,South,0
9437,9437,2017/7/27,5,0.24,13.6,90,101.79,Mainly Clear,6,27,393,9437,1,Residential_10,special,South,0
9438,9438,2017/7/27,6,0.22,14.4,86,101.82,Mainly Clear,6,27,393,9438,1,Residential_10,special,South,0
9439,9439,2017/7/27,7,0.36,15.3,80,101.87,Cloudy,6,27,393,9439,1,Residential_10,special,South,0
9440,9440,2017/7/27,8,1.56,16.1,77,101.91,Cloudy,6,27,393,9440,1,Residential_10,special,South,0
9441,9441,2017/7/27,9,0.46,17.1,74,101.94,Cloudy,6,27,393,9441,1,Residential_10,special,South,0
9442,9442,2017/7/27,10,0.27,18.0,69,101.97,Cloudy,6,27,393,9442,1,Residential_10,special,South,0
9443,9443,2017/7/27,11,0.46,20.4,59,101.99,Cloudy,6,27,393,9443,1,Residential_10,special,South,0
9444,9444,2017/7/27,12,0.47,21.0,56,101.99,Cloudy,6,27,393,9444,1,Residential_10,special,South,0
9445,9445,2017/7/27,13,0.49,21.8,54,101.99,Mainly Clear,6,27,393,9445,1,Residential_10,special,South,0
9446,9446,2017/7/27,14,0.34,22.3,54,101.94,Mainly Clear,6,27,393,9446,1,Residential_10,special,South,0
9447,9447,2017/7/27,15,0.23,22.7,53,101.92,Mainly Clear,6,27,393,9447,1,Residential_10,special,South,0
9448,9448,2017/7/27,16,0.24,22.2,52,101.87,Clear,6,27,393,9448,1,Residential_10,special,South,0
9449,9449,2017/7/27,17,0.27,21.7,55,101.85,Clear,6,27,393,9449,1,Residential_10,special,South,0
9450,9450,2017/7/27,18,0.31,20.3,58,101.83,Clear,6,27,393,9450,1,Residential_10,special,South,0
9451,9451,2017/7/27,19,0.46,18.8,62,101.81,Clear,6,27,393,9451,1,Residential_10,special,South,0
9452,9452,2017/7/27,20,0.43,16.8,68,101.8,Clear,6,27,393,9452,1,Residential_10,special,South,0
9453,9453,2017/7/27,21,0.4,16.2,70,101.83,Clear,6,27,393,9453,1,Residential_10,special,South,0
9454,9454,2017/7/27,22,0.28,14.9,76,101.8,Clear,6,27,393,9454,1,Residential_10,special,South,0
9455,9455,2017/7/27,23,0.44,14.8,80,101.81,Clear,6,27,393,9455,1,Residential_10,special,South,0
9456,9456,2017/7/28,0,0.41,14.3,81,101.81,Clear,0,28,394,9456,1,Residential_10,special,South,0
9457,9457,2017/7/28,1,0.29,13.7,81,101.83,Clear,0,28,394,9457,1,Residential_10,special,South,0
9458,9458,2017/7/28,2,0.22,13.2,81,101.85,Clear,0,28,394,9458,1,Residential_10,special,South,0
9459,9459,2017/7/28,3,0.23,12.8,83,101.85,Clear,0,28,394,9459,1,Residential_10,special,South,0
9460,9460,2017/7/28,4,0.23,12.8,83,101.87,Mainly Clear,0,28,394,9460,1,Residential_10,special,South,0
9461,9461,2017/7/28,5,0.23,12.3,86,101.9,Mainly Clear,0,28,394,9461,1,Residential_10,special,South,0
9462,9462,2017/7/28,6,0.4,14.6,80,101.9,Mainly Clear,0,28,394,9462,1,Residential_10,special,South,0
9463,9463,2017/7/28,7,0.39,15.2,79,101.93,Mainly Clear,0,28,394,9463,1,Residential_10,special,South,0
9464,9464,2017/7/28,8,0.27,17.0,73,101.94,Mainly Clear,0,28,394,9464,1,Residential_10,special,South,0
9465,9465,2017/7/28,9,0.28,17.8,69,101.93,Mainly Clear,0,28,394,9465,1,Residential_10,special,South,0
9466,9466,2017/7/28,10,0.31,17.7,76,101.92,Clear,0,28,394,9466,1,Residential_10,special,South,0
9467,9467,2017/7/28,11,0.29,17.8,77,101.89,Clear,0,28,394,9467,1,Residential_10,special,South,0
9468,9468,2017/7/28,12,0.5,19.1,73,101.85,Clear,0,28,394,9468,1,Residential_10,special,South,0
9469,9469,2017/7/28,13,0.31,20.1,72,101.82,Clear,0,28,394,9469,1,Residential_10,special,South,0
9470,9470,2017/7/28,14,0.44,21.8,59,101.79,Clear,0,28,394,9470,1,Residential_10,special,South,0
9471,9471,2017/7/28,15,1.01,21.3,59,101.77,Clear,0,28,394,9471,1,Residential_10,special,South,0
9472,9472,2017/7/28,16,0.47,21.7,61,101.73,Mainly Clear,0,28,394,9472,1,Residential_10,special,South,0
9473,9473,2017/7/28,17,0.6,22.0,60,101.69,Mainly Clear,0,28,394,9473,1,Residential_10,special,South,0
9474,9474,2017/7/28,18,1.53,22.0,60,101.67,Mainly Clear,0,28,394,9474,1,Residential_10,special,South,0
9475,9475,2017/7/28,19,0.67,21.7,56,101.65,Mainly Clear,0,28,394,9475,1,Residential_10,special,South,0
9476,9476,2017/7/28,20,0.74,20.3,64,101.66,Mainly Clear,0,28,394,9476,1,Residential_10,special,South,0
9477,9477,2017/7/28,21,1.84,18.4,70,101.71,Mainly Clear,0,28,394,9477,1,Residential_10,special,South,0
9478,9478,2017/7/28,22,0.43,17.0,75,101.73,Clear,0,28,394,9478,1,Residential_10,special,South,0
9479,9479,2017/7/28,23,0.43,16.0,77,101.73,Clear,0,28,394,9479,1,Residential_10,special,South,0
9480,9480,2017/7/29,0,0.41,16.0,78,101.76,Clear,1,29,395,9480,1,Residential_10,special,South,0
